name	time	value	sigma	experiment	changeCa	compound	dose
buffer	60	2.75359222181836	0.082193576378676	exp2	no	Cpz	20
buffer	180	4.99686012210113	0.117338458330871	exp2	no	Cpz	20
cellular	65	1.54512282623304	0.116399189838812	exp3	no	no	0
cellular	70	2.27035111713812	0.203455685149516	exp3	no	no	0
cellular	80	4.3985292710347	0.343504232479346	exp3	no	no	0
cellular	100	6.44202269577335	0.525228237615175	exp3	no	no	0
cellular	120	8.01904700829582	0.632625987652838	exp3	no	no	0
cellular	150	8.23648404322522	0.728379591819403	exp3	no	no	0
cellular	180	9.40860072174553	0.78542332694249	exp3	no	no	0
buffer	65	57.7238890649519	4.52198169987011	exp3	no	no	0
buffer	70	57.8271357085992	4.49636797550694	exp3	no	no	0
buffer	80	48.1158278205412	4.45520730644947	exp3	no	no	0
buffer	100	56.3738658280037	4.40182469089323	exp3	no	no	0
buffer	120	44.5124756759709	4.3702770319853	exp3	no	no	0
buffer	150	52.3266874387495	4.34215031860141	exp3	no	no	0
buffer	180	55.5646249306317	4.3253942548358	exp3	no	no	0
cellular	65	0.287459562690671	0.021399365741116	exp3	no	Csa	20
cellular	70	0.50694203075455	0.043185947635085	exp3	no	Csa	20
cellular	80	0.87912375182621	0.073126255118805	exp3	no	Csa	20
cellular	100	1.347975020139	0.106239596372777	exp3	no	Csa	20
cellular	120	1.57550955848093	0.124283519156985	exp3	no	Csa	20
cellular	150	1.79566659071223	0.140441531610607	exp3	no	Csa	20
cellular	180	1.59583559314581	0.150656571032306	exp3	no	Csa	20
buffer	65	53.7220716463971	4.55019378558976	exp3	no	Csa	20
buffer	70	53.7222090336046	4.54379193608618	exp3	no	Csa	20
buffer	80	59.8751778576592	4.5349972674052	exp3	no	Csa	20
buffer	100	55.2065034435727	4.52527050484558	exp3	no	Csa	20
buffer	120	60.5173223721569	4.51997025469114	exp3	no	Csa	20
buffer	150	57.0352465575178	4.51522397475934	exp3	no	Csa	20
buffer	180	50.749129872807	4.51222339305153	exp3	no	Csa	20
cellular	65	0.200370338594437	0.017237207399715	exp3	no	Csa	50
cellular	70	0.408317777429574	0.032540500763304	exp3	no	Csa	50
cellular	80	0.642309575835169	0.049111670469592	exp3	no	Csa	50
cellular	100	0.713269352688516	0.064485154338666	exp3	no	Csa	50
cellular	120	0.866161206615348	0.073049583624161	exp3	no	Csa	50
cellular	150	0.912335551868421	0.081347889545657	exp3	no	Csa	50
cellular	180	1.03748420152472	0.086929555482573	exp3	no	Csa	50
buffer	65	59.1288716461056	4.5513409248585	exp3	no	Csa	50
buffer	70	54.403843785882	4.54684499464656	exp3	no	Csa	50
buffer	80	56.804492226557	4.54197736836844	exp3	no	Csa	50
buffer	100	56.3751362361353	4.53746153687602	exp3	no	Csa	50
buffer	120	52.2518030584063	4.5349458079781	exp3	no	Csa	50
buffer	150	65.273313371176	4.53250825057617	exp3	no	Csa	50
buffer	180	65.7138412148815	4.53086868326585	exp3	no	Csa	50
cellular	65	0.809821489101371	0.060244648853403	exp3	no	Cpz	20
cellular	70	1.4413019781884	0.107667964590782	exp3	no	Cpz	20
cellular	80	2.43990716965147	0.19136164858622	exp3	no	Cpz	20
cellular	100	3.7793121433214	0.325764841290187	exp3	no	Cpz	20
cellular	120	5.43017930933621	0.43375434742034	exp3	no	Cpz	20
cellular	150	7.38509700714687	0.569095064854572	exp3	no	Cpz	20
cellular	180	7.68926953361354	0.685450559552359	exp3	no	Cpz	20
buffer	65	56.0867900510599	4.5386539462431	exp3	no	Cpz	20
buffer	70	57.0736766669819	4.52471978995593	exp3	no	Cpz	20
buffer	80	47.0001592986271	4.50013549951996	exp3	no	Cpz	20
buffer	100	54.6940732943557	4.46065570664409	exp3	no	Cpz	20
buffer	120	60.0220606703072	4.42893469863398	exp3	no	Cpz	20
buffer	150	58.0508245895714	4.38917950381036	exp3	no	Cpz	20
buffer	180	53.5638911292377	4.3550010581221	exp3	no	Cpz	20
cellular	65	0.325505402415683	0.024251027971688	exp3	no	Cpz	50
cellular	70	0.584963280136092	0.045018037096144	exp3	no	Cpz	50
cellular	80	1.06463688990986	0.08646022336675	exp3	no	Cpz	50
cellular	100	2.22226645558233	0.168772284628383	exp3	no	Cpz	50
cellular	120	3.42899478090576	0.250507648466849	exp3	no	Cpz	50
cellular	150	4.05515759748792	0.372270158272516	exp3	no	Cpz	50
cellular	180	6.52278542634801	0.492857515048184	exp3	no	Cpz	50
buffer	65	57.5392524413242	4.54923082189891	exp3	no	Cpz	50
buffer	70	55.4291573336667	4.54313023140013	exp3	no	Cpz	50
buffer	80	55.3533783048393	4.53095694048996	exp3	no	Cpz	50
buffer	100	53.7043070862594	4.50677846659223	exp3	no	Cpz	50
buffer	120	40.3237677579214	4.4827693925479	exp3	no	Cpz	50
buffer	150	52.9877427768358	4.44700268185395	exp3	no	Cpz	50
buffer	180	61.5213539350201	4.41158116246605	exp3	no	Cpz	50
cellular	35	1.03565498993466	0.089090791735176	exp4	no	no	0
cellular	40	1.86417717902165	0.155723416637039	exp4	no	no	0
cellular	50	3.38460139107429	0.262915899695379	exp4	no	no	0
cellular	60	4.47167641113982	0.342313524499086	exp4	no	no	0
cellular	80	5.26101869157057	0.447957980626421	exp4	no	no	0
cellular	100	6.72260716122307	0.513444136154541	exp4	no	no	0
cellular	120	7.42572456637701	0.557497436336196	exp4	no	no	0
cellular	160	8.06104393280521	0.611819337744672	exp4	no	no	0
buffer	35	58.8104599776968	4.52196972492635	exp4	no	no	0
buffer	40	47.0165415617351	4.49635599272984	exp4	no	no	0
buffer	50	58.3077025437565	4.45519531168008	exp4	no	no	0
buffer	60	56.3288765679888	4.42472121191642	exp4	no	no	0
buffer	80	63.7446383104369	4.3841769267978	exp4	no	no	0
buffer	100	50.2274403563359	4.35904501296431	exp4	no	no	0
buffer	120	53.4403500735472	4.34213836219365	exp4	no	no	0
buffer	160	63.3384081403343	4.32129090015025	exp4	no	no	0
cellular	35	0.507981790311194	0.016348254513738	exp4	no	Csa	20
cellular	40	0.927723926120681	0.034165817787647	exp4	no	Csa	20
cellular	50	1.43945660332875	0.06039892300241	exp4	no	Csa	20
cellular	60	1.87936803254891	0.078662381504041	exp4	no	Csa	20
cellular	80	2.23285201602006	0.102186939682118	exp4	no	Csa	20
cellular	100	2.47554423553471	0.116654098751194	exp4	no	Csa	20
